optimization_pass,circuit_type,num_qubits,topology,status,error,Gate Count,Circuit Depth,2Q Count,2Q Depth
qlego-qiskit_PresetOptimizationPass,DJ Circuit,5,heavy_hex,success,,55.0,28.0,7.0,7.0
qlego-qiskit_Optimize1qGatesPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_Optimize1qGateDecompositionPass,DJ Circuit,5,heavy_hex,success,,38.0,17.0,7.0,7.0
qlego-qiskit_Optimize1qGateSimpleCommutationPass,DJ Circuit,5,heavy_hex,success,,48.0,21.0,7.0,7.0
qlego-qiskit_CommutativeCancellationPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_CommutationAnalysisPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_CommutativeOptimizationPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_OptimizeCliffordsPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_OptimizeCliffordTPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_CollectCliffordsPass,DJ Circuit,5,heavy_hex,success,,31.0,18.0,7.0,7.0
qlego-qiskit_Collect2qBlocksPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_CollectMultiQBlocksPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_RemoveIdentityEquivalentPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_OptimizeSwapBeforeMeasurePass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_RemoveDiagonalGatesBeforeMeasurePass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_RemoveFinalResetPass,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-tket_SquashTK1Pass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_SquashRzPhasedXPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_DecomposeSingleQubitsTK1Pass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_FullPeepholeOptimizePass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_CliffordSimpPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_PeepholeOptimize2QPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_KAKDecompositionPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_RemoveRedundanciesPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_RemovePhaseOpsPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_DelayMeasuresPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_SimplifyMeasuresPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_RemoveDiscardedPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-tket_SynthesiseTketPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'pytket',,,,
qlego-bqskit_GroupSingleQuditGatePassPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_ScanningGateRemovalPassPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_IterativeScanningGateRemovalPassPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_TreeScanningGateRemovalPassPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-bqskit_QuickPartitionerPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'bqskit',,,,
qlego-cirq_MergeSingleQubitGatesToPhxzPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_MergeSingleQubitGatesPhasedXAndZPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_EjectZPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_EjectPhasedPaulisPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_MergeKQubitUnitariesPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_DropNegligibleOperationsPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_DropEmptyMomentsPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_DeferMeasurementsPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'ply',,,,
qlego-cirq_OptimizeForTargetGatesetPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'cirq.optimizers',,,,
qlego-cirq_AlignLeftPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'ply',,,,
qlego-cirq_AlignRightPass,DJ Circuit,5,heavy_hex,failed,ModuleNotFoundError: No module named 'ply',,,,
qlego-cirq_StratifiedCircuitPass,DJ Circuit,5,heavy_hex,failed,ImportError: cannot import name 'stratified_circuit' from 'cirq.circuits' (/Users/abhishekshringi/Documents/Quantum Research/qlego/tests/.venv/lib/python3.12/site-packages/cirq/circuits/__init__.py),,,,
Baseline,DJ Circuit,5,heavy_hex,success,,43.0,19.0,7.0,7.0
qlego-qiskit_PresetOptimizationPass,GHZ Circuit,5,heavy_hex,success,,24.0,15.0,4.0,4.0
qlego-qiskit_Optimize1qGatesPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_Optimize1qGateDecompositionPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_Optimize1qGateSimpleCommutationPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_CommutativeCancellationPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_CommutationAnalysisPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_CommutativeOptimizationPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_OptimizeCliffordsPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_OptimizeCliffordTPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
qlego-qiskit_CollectCliffordsPass,GHZ Circuit,5,heavy_hex,success,,12.0,8.0,4.0,4.0
